 data bronce largo25 (Cambiar theta con py)  
t x y θ 
0.000 1.302 4.873 75.0
0.033 2.810 5.031 60.8
0.067 4.079 5.238 52.1
0.100 5.271 5.483 46.1
0.133 6.090 5.673 43.0
0.167 6.784 5.798 40.5
0.200 7.327 5.841 38.6
0.233 7.476 5.862 38.1
0.267 7.354 5.808 38.3
0.300 6.846 5.736 40.0
0.333 6.214 5.619 42.1
0.367 5.123 5.378 46.4
0.400 3.926 5.126 52.6
0.433 2.848 4.979 60.2
0.467 1.003 4.748 78.1
0.500 -0.644 4.728 97.8
0.533 -2.149 4.751 114.3
0.567 -3.619 4.907 126.4
0.600 -5.088 5.115 134.9
0.633 -6.253 5.327 139.6
0.667 -7.267 5.553 142.6
0.700 -7.995 5.744 144.3
0.733 -8.629 5.796 146.1
0.767 -8.370 6.786 141.0
0.800 -8.243 6.751 140.7
0.833 -8.117 5.744 144.7
0.867 -7.494 5.598 143.2
0.900 -6.460 5.385 140.2
0.933 -5.490 5.204 136.5
0.967 -4.300 5.032 130.5
1.000 -2.843 4.871 120.3
1.033 -1.116 4.787 103.1
1.067 0.355 4.806 85.8
1.100 2.026 4.929 67.7
1.133 2.972 5.035 59.4
1.167 4.637 5.323 48.9
1.200 5.641 5.493 44.2
1.233 6.425 5.668 41.4
1.267 6.596 6.089 42.7
1.300 6.976 6.197 41.6
1.333 6.974 6.418 42.6
1.367 6.756 6.213 42.6
1.400 6.270 5.941 43.5
1.433 5.774 5.480 43.5
1.467 4.917 5.271 47.0
1.500 3.566 5.056 54.8
1.533 2.082 4.853 66.8
1.567 0.223 4.805 87.3
1.600 -1.416 4.842 106.3
1.633 -2.383 4.842 116.2
1.667 -4.237 4.998 130.3
1.700 -5.565 5.209 136.9
1.733 -6.585 5.432 140.5
1.766 -7.152 6.325 138.5
1.800 -8.480 5.985 144.8
1.833 -8.840 6.147 145.2
1.866 -8.908 6.165 145.3
1.900 -8.734 6.071 145.2
1.933 -8.309 5.940 144.4
1.966 -7.588 5.740 142.9
2.000 -6.603 5.463 140.4
2.033 -5.484 5.309 135.9
2.066 -4.135 5.055 129.3
2.100 -2.729 4.908 119.1
2.133 -1.216 4.825 104.1
2.166 0.315 4.829 86.3
2.200 1.765 4.914 70.2
2.233 3.541 5.085 55.1
2.266 4.440 5.239 49.7
2.300 5.424 5.479 45.3
2.333 6.081 5.977 44.5
2.366 6.652 6.179 42.9
2.400 6.987 6.226 41.7
2.433 6.974 6.216 41.7
2.466 6.623 6.110 42.7
2.500 6.043 5.759 43.6
2.533 5.034 5.690 48.5
2.566 4.012 5.261 52.7
2.600 2.663 5.047 62.2
2.633 1.148 4.969 77.0
2.666 -0.293 4.749 93.5
2.700 -2.007 4.907 112.2
2.733 -3.471 4.904 125.3
2.766 -4.927 5.099 134.0
2.800 -6.192 5.317 139.3
2.833 -7.295 5.623 142.4
2.866 -8.111 5.841 144.2
2.900 -8.625 6.010 145.1
2.933 -8.821 6.362 144.2
2.966 -8.825 6.372 144.2
3.000 -8.624 6.085 144.8
3.033 -8.118 5.998 143.5
3.066 -7.385 5.658 142.5
3.100 -6.379 5.490 139.3
