 Madera   
t x y θ 
0.000 -20.73 -40.53 -117.1
0.033 -27.20 -36.61 -126.6
0.067 -32.10 -31.91 -135.2
0.100 -36.71 -26.81 -143.9
0.133 -39.36 -22.20 -150.6
0.167 -41.51 -18.28 -156.2
0.200 -43.28 -14.95 -160.9
0.233 -43.67 -12.40 -164.1
0.267 -43.87 -11.03 -165.9
0.300 -43.82 -11.08 -165.8
0.333 -43.55 -11.81 -164.8
0.367 -43.03 -13.46 -162.6
0.400 -42.04 -15.96 -159.2
0.433 -40.69 -19.32 -154.6
0.467 -38.72 -23.43 -148.8
0.500 -35.34 -28.04 -141.6
0.533 -30.73 -32.99 -133.0
0.567 -26.17 -36.86 -125.4
0.600 -20.59 -40.63 -116.9
0.633 -13.48 -43.47 -107.2
0.667 -5.048 -44.75 -96.4
0.700 3.578 -44.60 -85.4
0.733 10.34 -44.06 -76.8
0.767 17.55 -41.91 -67.3
0.800 24.65 -38.92 -57.6
0.833 31.02 -34.21 -47.8
0.867 35.04 -29.85 -40.4
0.900 38.72 -26.03 -33.9
0.933 41.32 -22.06 -28.1
0.967 43.26 -18.56 -23.2
1.000 44.43 -15.79 -19.6
1.033 45.34 -13.94 -17.1
1.067 45.64 -13.11 -16.0
1.100 45.58 -13.34 -16.3
1.133 45.09 -14.62 -18.0
1.167 44.12 -16.89 -21.0
1.200 42.55 -19.98 -25.2
1.233 40.20 -23.83 -30.7
1.267 36.51 -28.48 -37.9
1.300 31.61 -33.33 -46.5
1.333 26.22 -37.59 -55.1
1.367 19.16 -41.12 -65.0
1.400 12.11 -43.62 -74.5
1.433 3.970 -45.14 -85.0
1.467 -4.460 -45.53 -95.6
1.500 -12.89 -43.57 -106.5
1.533 -19.46 -41.02 -115.4
1.567 -25.14 -37.98 -123.5
1.600 -29.65 -34.26 -130.9
1.633 -33.57 -30.24 -138.0
1.666 -36.39 -26.93 -143.5
1.700 -38.42 -23.79 -148.2
1.733 -39.56 -21.23 -151.8
1.766 -40.64 -19.48 -154.4
1.800 -41.06 -18.60 -155.6
1.833 -41.06 -18.64 -155.6
1.866 -40.57 -19.57 -154.2
1.900 -39.57 -21.37 -151.6
1.933 -38.22 -23.84 -148.0
1.966 -36.21 -26.89 -143.4
2.000 -33.38 -30.44 -137.6
2.033 -29.65 -33.77 -131.3
2.066 -24.95 -37.69 -123.5
2.100 -19.36 -41.12 -115.2
2.133 -13.09 -43.57 -106.7
2.166 -6.715 -44.26 -98.6
2.200 -0.245 -45.63 -90.3
2.233 6.813 -44.36 -81.3
2.266 13.67 -42.79 -72.3
2.300 19.95 -40.73 -63.9
2.333 25.83 -37.31 -55.3
2.366 30.68 -33.62 -47.6
2.400 34.57 -29.90 -40.9
2.433 37.67 -26.52 -35.1
2.466 39.89 -23.57 -30.6
2.500 41.57 -21.34 -27.2
2.533 42.10 -20.54 -26.0
2.566 42.10 -20.05 -25.5
2.600 42.00 -20.54 -26.1
2.633 42.09 -20.30 -25.8
2.666 41.00 -22.21 -28.4
2.700 38.18 -25.73 -34.0
2.733 36.34 -27.98 -37.6
2.766 32.86 -31.59 -43.9
2.800 28.36 -35.41 -51.3
2.833 23.10 -38.95 -59.3
2.866 16.31 -42.13 -68.8
2.900 9.901 -44.07 -77.3
2.933 2.084 -45.12 -87.4
2.966 -5.426 -44.85 -96.9
3.000 -11.78 -43.55 -105.1
3.033 -18.39 -41.10 -114.1
3.066 -23.83 -38.13 -122.0
3.100 -28.12 -34.94 -128.8
3.133 -31.85 -31.89 -135.0
3.166 -34.31 -29.06 -139.7
3.200 -36.32 -26.69 -143.7
3.233 -37.00 -25.73 -145.2
3.266 -37.89 -24.26 -147.4
3.300 -37.89 -24.26 -147.4
3.333 -37.59 -24.65 -146.7
3.366 -36.71 -25.83 -144.9
3.400 -36.12 -26.70 -143.5
3.433 -34.36 -29.06 -139.8
3.466 -31.61 -32.59 -134.1
3.500 -28.59 -34.73 -129.5
3.533 -24.74 -37.70 -123.3
3.566 -20.08 -40.50 -116.4
3.600 -14.70 -42.83 -108.9
3.633 -8.859 -44.47 -101.3
3.666 -2.660 -45.27 -93.4
3.700 3.791 -45.06 -85.2
3.733 9.931 -44.16 -77.3
3.766 16.02 -42.39 -69.3
3.800 21.86 -39.68 -61.2
3.833 26.51 -36.69 -54.1
3.866 30.45 -33.65 -47.9
3.900 33.96 -30.73 -42.1
3.933 36.29 -28.18 -37.8
3.966 37.91 -26.14 -34.6
4.000 38.08 -24.91 -33.2
4.033 39.06 -24.85 -32.5
4.066 39.06 -24.85 -32.5
4.100 37.94 -25.03 -33.4
4.133 36.85 -26.51 -35.7
4.166 35.66 -28.53 -38.7
4.200 33.01 -31.19 -43.4
4.233 29.62 -34.18 -49.1
4.266 25.41 -37.23 -55.7
4.300 20.26 -40.15 -63.2
4.333 14.55 -42.53 -71.1
4.366 7.629 -44.27 -80.2
4.400 1.996 -44.84 -87.5
4.433 -5.518 -44.68 -97.0
4.466 -11.53 -43.48 -104.9
4.500 -17.03 -41.58 -112.3
4.533 -21.80 -39.19 -119.1
4.566 -25.91 -36.59 -125.3
4.600 -29.15 -34.06 -130.6
4.633 -31.65 -31.72 -134.9
4.666 -33.51 -29.82 -138.3
4.700 -34.67 -28.39 -140.7
4.733 -34.80 -28.57 -140.6
4.766 -34.90 -28.18 -141.1
4.800 -34.41 -28.72 -140.1
4.833 -34.26 -28.85 -139.9
4.866 -32.87 -30.42 -137.2
4.900 -30.58 -33.13 -132.7
4.933 -28.23 -34.74 -129.1
4.966 -24.96 -37.19 -123.9
4.999 -21.10 -39.63 -118.0
5.033 -16.48 -41.83 -111.5
5.066 -11.50 -43.51 -104.8
5.099 -5.996 -44.58 -97.7
5.133 -0.855 -45.16 -91.1
5.166 5.251 -44.65 -83.3
5.199 10.86 -43.60 -76.0
5.233 16.22 -41.92 -68.9
5.266 20.71 -39.85 -62.5
5.299 24.45 -37.78 -57.1
5.333 27.72 -35.64 -52.1
5.366 31.22 -33.18 -46.7
5.399 33.87 -31.17 -42.6
5.433 35.19 -29.90 -40.4
5.466 36.02 -28.48 -38.3
5.499 36.02 -28.48 -38.3
5.533 35.58 -28.92 -39.1
5.566 34.60 -30.09 -41.0
5.599 32.94 -31.86 -44.0
5.633 30.63 -33.92 -47.9
5.666 26.92 -36.13 -53.3
5.699 23.37 -38.39 -58.7
5.733 19.05 -40.72 -64.9
5.766 14.06 -42.71 -71.8
5.799 8.434 -44.13 -79.2
5.833 2.626 -45.04 -86.7
5.866 -3.079 -45.04 -93.9
5.899 -8.727 -44.40 -101.1
5.933 -13.99 -42.97 -108.0
5.966 -18.71 -41.18 -114.4
5.999 -22.77 -39.10 -120.2
6.033 -26.12 -37.00 -125.2
6.066 -28.74 -34.95 -129.4
6.099 -30.75 -33.17 -132.8
6.133 -31.96 -31.72 -135.2
6.166 -32.30 -31.22 -136.0
6.199 -32.89 -30.83 -136.9
6.233 -32.69 -31.02 -136.5
6.266 -32.16 -31.41 -135.7
6.299 -31.03 -32.67 -133.5
6.333 -29.23 -34.37 -130.4
6.366 -26.86 -36.26 -126.5
6.399 -23.97 -38.30 -122.0
6.433 -20.34 -40.25 -116.8
6.466 -16.22 -42.09 -111.1
6.499 -11.66 -43.55 -105.0
6.533 -6.568 -44.52 -98.4
6.566 -1.471 -44.99 -91.9
6.599 3.710 -44.78 -85.3
6.633 8.876 -44.04 -78.6
6.666 13.76 -42.77 -72.2
6.699 18.20 -41.05 -66.1
6.733 21.81 -39.33 -61.0
6.766 25.04 -37.33 -56.1
6.799 27.87 -35.03 -51.5
6.833 30.10 -33.08 -47.7
6.866 31.63 -31.73 -45.1
6.899 33.08 -31.61 -43.7
6.933 33.38 -31.12 -43.0
6.966 32.69 -32.01 -44.4
6.999 31.51 -31.80 -45.3
7.033 30.08 -33.12 -47.8
7.066 27.91 -34.86 -51.3
7.099 25.30 -36.77 -55.5
7.133 21.78 -38.95 -60.8
7.166 17.65 -41.01 -66.7
7.199 12.79 -42.87 -73.4
7.233 7.829 -44.09 -79.9
7.266 2.457 -44.76 -86.9
7.299 -2.978 -44.83 -93.8
7.333 -8.046 -44.28 -100.3
7.366 -12.92 -43.15 -106.7
7.399 -17.22 -41.62 -112.5
7.433 -21.12 -39.94 -117.9
7.466 -24.23 -38.11 -122.4
7.499 -26.74 -36.37 -126.3
7.533 -28.60 -34.85 -129.4
7.566 -29.74 -33.60 -131.5
7.599 -30.04 -33.87 -131.6
7.633 -30.04 -33.48 -131.9
7.666 -30.04 -33.67 -131.7
7.699 -29.73 -33.50 -131.6
7.733 -28.60 -34.62 -129.6
7.766 -26.75 -36.02 -126.6
7.799 -24.46 -37.69 -123.0
7.833 -21.46 -39.34 -118.6
7.866 -18.07 -41.10 -113.7
7.899 -14.11 -42.59 -108.3
7.933 -9.768 -43.78 -102.6
7.966 -5.173 -44.55 -96.6
7.999 -0.828 -44.86 -91.1
8.033 4.300 -44.57 -84.5
8.066 8.969 -43.87 -78.4
8.099 13.38 -42.70 -72.6
8.133 17.22 -41.33 -67.4
8.166 20.53 -39.93 -62.8
8.199 23.69 -37.90 -58.0
8.233 26.22 -36.02 -54.0
8.266 28.12 -34.58 -50.9
8.299 30.34 -34.46 -48.6
8.332 31.02 -33.67 -47.3
8.366 31.02 -33.67 -47.3
8.399 30.34 -34.06 -48.3
8.432 29.36 -35.04 -50.0
8.466 27.59 -36.42 -52.8
8.499 25.44 -37.59 -55.9
8.532 22.70 -39.28 -60.0
8.566 19.32 -41.12 -64.8
8.599 15.42 -42.75 -70.2
8.632 10.98 -44.10 -76.0
8.666 6.213 -45.03 -82.1
8.699 1.368 -45.44 -88.3
8.732 -3.210 -45.43 -94.0
8.766 -8.197 -44.74 -100.4
8.799 -12.45 -43.68 -105.9
8.832 -16.33 -42.36 -111.1
8.866 -19.51 -40.67 -115.6
8.899 -22.27 -39.06 -119.7
8.932 -24.58 -37.58 -123.2
8.966 -26.36 -36.39 -125.9
8.999 -27.50 -35.50 -127.8
9.032 -28.10 -35.00 -128.8
9.066 -28.16 -34.95 -128.9
9.099 -27.74 -35.27 -128.2
9.132 -26.80 -36.01 -126.7
9.166 -25.39 -37.06 -124.4
9.199 -23.46 -38.37 -121.4
9.232 -21.07 -39.82 -117.9
9.266 -18.19 -41.38 -113.7
9.299 -14.81 -42.80 -109.1
9.332 -10.98 -43.97 -104.0
9.366 -6.603 -44.83 -98.4
9.399 -2.504 -45.39 -93.2
9.432 1.854 -45.42 -87.7
9.466 6.348 -44.99 -82.0
9.499 10.61 -44.15 -76.5
9.532 14.55 -43.05 -71.3
9.566 18.07 -41.61 -66.5
9.599 21.10 -40.04 -62.2
9.632 23.59 -38.65 -58.6
9.666 25.46 -37.47 -55.8
9.699 26.90 -36.45 -53.6
9.732 28.67 -35.36 -51.0
9.766 29.11 -35.06 -50.3
9.799 29.00 -35.15 -50.5
9.832 28.18 -35.73 -51.7
9.866 26.80 -36.68 -53.9
9.899 24.70 -38.00 -57.0
9.932 22.35 -39.41 -60.4
9.966 19.41 -40.91 -64.6
9.999 15.95 -42.47 -69.4
10.032 12.06 -43.77 -74.6
10.066 7.817 -44.72 -80.1
10.099 3.357 -45.31 -85.8
10.132 -1.083 -45.42 -91.4
10.166 -5.574 -45.10 -97.0
10.199 -9.710 -44.38 -102.3
10.232 -13.53 -43.30 -107.4
10.266 -16.95 -42.06 -111.9
10.299 -19.68 -40.56 -115.9
10.332 -22.01 -39.22 -119.3
10.366 -23.96 -38.10 -122.2
10.399 -25.25 -37.16 -124.2
10.432 -26.11 -36.58 -125.5
10.466 -26.39 -36.35 -126.0
10.499 -26.23 -36.49 -125.7
10.532 -25.52 -36.99 -124.6
10.566 -24.35 -37.81 -122.8
10.599 -22.66 -38.84 -120.3
10.632 -20.57 -40.05 -117.2
10.666 -18.06 -41.40 -113.6
10.699 -15.07 -42.64 -109.5
10.732 -11.63 -43.77 -104.9
10.766 -7.878 -44.60 -100.0
10.799 -3.998 -45.16 -95.1
10.832 0.122 -45.02 -89.8
10.866 4.290 -45.17 -84.6
10.899 8.315 -44.60 -79.4
10.932 12.07 -43.68 -74.6
10.966 15.56 -42.55 -69.9
10.999 18.60 -41.28 -65.7
11.032 21.07 -40.05 -62.3
11.066 23.09 -38.91 -59.3
11.099 24.59 -37.98 -57.1
11.132 26.50 -36.91 -54.3
11.166 27.12 -36.52 -53.4
11.199 27.13 -36.51 -53.4
11.232 26.57 -36.86 -54.2
11.266 25.47 -37.59 -55.9
11.299 23.48 -38.70 -58.8
11.332 21.45 -39.86 -61.7
11.366 18.87 -41.14 -65.4
11.399 15.76 -42.43 -69.6
11.432 12.29 -43.65 -74.3
11.466 8.389 -44.59 -79.3
11.499 4.288 -45.17 -84.6
11.532 0.166 -44.98 -89.8
11.566 -4.049 -45.17 -95.1
11.599 -8.004 -44.62 -100.2
11.632 -11.65 -43.82 -104.9
11.665 -14.93 -42.81 -109.2
11.699 -17.67 -41.51 -113.1
11.732 -20.11 -40.33 -116.5
