 Madera (Angulo G calcular theta con py)   
t x y θ 
0.000 4.218 3.127 36.6
0.033 4.847 3.207 33.5
0.067 5.250 3.251 31.8
0.100 5.726 3.311 30.0
0.133 5.781 3.293 29.7
0.167 5.780 3.297 29.7
0.200 5.764 3.293 29.7
0.233 5.163 3.246 32.2
0.267 4.883 3.224 33.4
0.300 4.514 3.184 35.2
0.333 4.003 3.134 38.1
0.367 3.454 3.079 41.7
0.400 2.785 3.041 47.5
0.433 2.061 2.989 55.4
0.467 1.228 2.986 67.7
0.500 0.398 3.007 82.5
0.533 -0.368 2.978 97.0
0.567 -1.765 2.718 123.0
0.600 -2.460 2.757 131.7
0.633 -3.069 2.841 137.2
0.667 -3.624 2.910 141.2
0.700 -4.378 3.017 145.4
0.733 -4.635 3.125 146.0
0.767 -5.721 3.100 151.5
0.800 -5.843 3.100 152.1
0.833 -5.746 3.099 151.7
0.867 -5.600 3.067 151.3
0.900 -4.587 3.551 142.3
0.933 -4.276 3.495 140.7
0.967 -4.882 3.271 146.2
1.000 -3.950 3.168 141.3
1.033 -3.681 3.135 139.6
1.067 -2.843 3.073 132.8
1.100 -1.923 3.024 122.5
1.133 -0.914 3.003 106.9
1.167 0.120 3.001 87.7
1.200 0.952 3.005 72.4
1.233 1.822 3.027 59.0
1.267 2.624 3.092 49.7
1.300 3.370 3.143 43.0
1.333 2.725 3.038 48.1
1.367 3.304 3.085 43.0
1.400 3.944 3.148 38.6
1.433 4.486 3.203 35.5
1.467 4.807 3.230 33.9
1.500 5.088 3.262 32.7
1.533 5.216 3.277 32.1
1.567 5.249 3.273 31.9
1.600 5.159 3.267 32.3
1.633 4.872 3.239 33.6
1.666 4.487 3.194 35.4
1.700 3.832 3.125 39.2
1.733 2.880 3.064 46.8
1.766 2.247 3.019 53.3
1.800 1.508 2.986 63.2
1.833 0.715 2.970 76.5
1.866 -8.707E-2 2.963 91.7
1.900 -0.858 2.967 106.1
1.933 -1.624 2.980 118.6
1.966 -2.384 3.023 128.3
2.000 -3.065 3.065 135.0
2.033 -3.689 3.119 139.8
2.066 -4.198 3.158 143.0
2.100 -4.629 3.201 145.3
2.133 -4.949 3.249 146.7
2.166 -5.152 3.267 147.6
2.200 -5.226 3.279 147.9
2.233 -5.208 3.277 147.8
2.266 -5.043 3.251 147.2
2.300 -4.786 3.226 146.0
2.333 -4.405 3.185 144.1
2.366 -3.924 3.137 141.4
2.400 -3.355 3.086 137.4
2.433 -2.697 3.044 131.5
2.466 -2.002 3.000 123.7
