 data bronce largo15   
t x y θ 
0.000 4.604 -15.75 -73.7
0.033 6.053 -15.23 -68.3
0.067 5.966 -14.71 -67.9
0.100 6.514 -14.59 -65.9
0.134 6.575 -14.51 -65.6
0.167 6.012 -14.71 -67.8
0.201 5.626 -15.24 -69.7
0.234 4.249 -15.75 -74.9
0.268 2.889 -16.18 -79.9
0.301 0.942 -16.53 -86.7
0.335 -1.119 -16.66 -93.8
0.368 -2.973 -16.54 -100.2
0.402 -4.958 -16.15 -107.1
0.435 -5.811 -15.85 -110.1
0.469 -7.110 -15.48 -114.7
0.502 -7.826 -15.01 -117.5
0.536 -7.836 -15.15 -117.4
0.569 -7.865 -14.98 -117.7
0.603 -7.448 -15.12 -116.2
0.636 -6.490 -14.92 -113.5
0.670 -5.314 -16.02 -108.4
0.703 -3.994 -16.36 -103.7
0.736 -2.487 -16.60 -98.5
0.770 -0.537 -16.66 -91.8
0.803 1.428 -16.51 -85.1
0.837 2.606 -16.27 -80.9
0.870 4.444 -15.78 -74.3
0.904 5.708 -15.32 -69.6
0.937 6.584 -14.97 -66.3
0.971 7.175 -14.77 -64.1
1.004 6.477 -14.49 -65.9
1.038 6.755 -14.86 -65.5
1.071 5.743 -15.20 -69.3
1.105 4.564 -15.67 -73.8
1.138 3.000 -16.13 -79.5
1.172 0.906 -16.52 -86.9
1.205 -0.404 -16.58 -91.4
1.239 -2.801 -16.55 -99.6
1.272 -4.397 -16.28 -105.1
1.306 -5.808 -15.92 -110.0
1.339 -6.734 -15.57 -113.4
1.373 -6.853 -14.39 -115.5
1.406 -7.228 -14.26 -116.9
1.439 -7.004 -14.31 -116.1
1.473 -6.698 -14.49 -114.8
1.506 -6.032 -15.61 -111.1
1.540 -5.124 -15.16 -108.7
1.573 -3.881 -15.50 -104.1
1.607 -2.450 -15.73 -98.9
1.640 -0.915 -15.81 -93.3
1.674 1.566 -16.34 -84.5
1.707 3.094 -16.15 -79.2
1.741 4.534 -15.77 -74.0
1.774 5.826 -14.72 -68.4
1.808 6.524 -14.98 -66.5
1.841 6.395 -14.59 -66.3
1.875 7.012 -13.60 -62.7
1.908 6.843 -13.81 -63.6
1.942 4.638 -13.18 -70.6
1.975 4.242 -15.45 -74.7
2.009 2.920 -16.14 -79.7
2.042 0.874 -16.52 -87.0
2.076 -0.789 -16.69 -92.7
2.109 -2.975 -16.51 -100.2
2.142 -3.742 -16.36 -102.9
2.176 -5.238 -16.02 -108.1
2.209 -6.333 -15.65 -112.0
