 data bronce largo35 (cambiar theta con py)  
t x y θ 
0.000 -8.634 3.886 155.8
0.033 -8.641 3.888 155.8
0.067 -8.654 3.891 155.8
0.100 -8.664 3.892 155.8
0.133 -8.674 3.920 155.7
0.167 -8.637 3.953 155.4
0.200 -8.221 4.127 153.3
0.233 -7.817 3.933 153.3
0.267 -7.153 3.782 152.1
0.300 -6.259 3.583 150.2
0.333 -5.240 3.410 146.9
0.367 -3.938 3.465 138.7
0.400 -2.728 3.139 131.0
0.433 -1.348 3.090 113.6
0.467 7.408E-2 3.055 88.6
0.500 1.521 3.101 63.9
0.533 2.941 3.236 47.7
0.567 4.252 3.323 38.0
0.600 5.515 3.545 32.7
0.633 6.636 3.748 29.5
0.667 7.565 4.154 28.8
0.700 8.339 4.136 26.4
0.733 8.859 4.244 25.6
0.767 9.131 4.540 26.4
0.800 9.173 4.605 26.7
0.833 9.036 4.313 25.5
0.867 8.565 4.174 26.0
0.900 7.868 4.010 27.0
0.933 6.922 4.003 30.0
0.967 5.772 3.599 31.9
1.000 4.443 3.407 37.5
1.033 2.997 3.316 47.9
1.067 1.448 3.215 65.8
1.100 -8.231E-2 3.339 91.4
1.133 -1.689 3.151 118.2
1.167 -3.107 3.423 132.2
1.200 -4.527 3.424 142.9
1.233 -5.788 3.494 148.9
1.267 -6.731 3.758 150.8
1.300 -7.488 4.001 151.9
1.333 -7.968 4.244 152.0
1.367 -8.274 4.304 152.5
1.400 -8.320 4.317 152.6
1.433 -8.138 4.239 152.5
1.467 -7.701 4.117 151.9
1.500 -7.035 3.968 150.6
1.533 -6.274 3.649 149.8
1.567 -5.173 3.630 144.9
1.600 -4.006 3.492 138.9
1.633 -2.729 3.360 129.1
1.667 -1.472 3.068 115.6
1.700 1.368E-2 3.213 89.8
1.733 1.438 3.267 66.2
1.766 2.818 3.247 49.0
1.800 4.140 3.326 38.8
1.833 5.403 3.547 33.3
1.866 6.519 3.906 30.9
1.900 7.461 3.989 28.1
1.933 8.225 4.073 26.3
1.966 8.750 4.430 26.9
2.000 9.055 4.300 25.4
2.033 9.117 4.387 25.7
2.066 8.951 4.382 26.1
2.100 8.538 4.246 26.4
2.133 7.862 4.067 27.4
2.166 6.950 3.896 29.3
2.200 5.837 3.727 32.6
2.233 4.526 3.534 38.0
2.266 3.069 3.258 46.7
2.300 1.575 3.304 64.5
2.333 2.546E-2 3.293 89.6
2.366 -1.552 3.212 115.8
2.400 -2.993 3.389 131.4
2.433 -4.344 3.556 140.7
2.466 -5.547 3.712 146.2
2.500 -6.564 3.890 149.3
2.533 -7.412 3.967 151.8
2.566 -7.930 4.193 152.1
2.600 -8.244 4.284 152.5
2.633 -8.311 4.310 152.6
2.666 -8.123 4.277 152.2
2.700 -7.711 4.163 151.6
2.733 -7.120 3.937 151.1
2.766 -6.279 3.808 148.8
2.800 -5.326 3.544 146.4
2.833 -4.148 3.456 140.2
2.866 -2.962 3.164 133.1
2.900 -1.530 3.246 115.2
2.933 -0.118 3.273 92.1
2.966 1.259 3.192 68.5
3.000 2.687 3.361 51.4
3.033 4.004 3.378 40.2
3.066 5.259 3.570 34.2
3.100 6.380 3.781 30.7
3.133 7.334 4.123 29.3
3.166 8.116 4.117 26.9
3.200 7.845 4.153 27.9
3.233 9.023 4.353 25.8
3.266 9.023 4.779 27.9
3.300 8.963 4.410 26.2
3.333 8.558 4.271 26.5
3.366 7.907 4.129 27.6
3.400 7.013 4.064 30.1
3.433 5.915 3.814 32.8
3.466 4.636 3.610 37.9
3.500 3.194 3.311 46.0
3.533 1.672 3.278 63.0
3.566 7.346E-2 3.134 88.7
3.600 -1.439 3.190 114.3
3.633 -2.834 3.473 129.2
3.666 -4.213 3.560 139.8
3.700 -5.386 3.801 144.8
3.733 -6.395 4.003 148.0
3.766 -7.224 4.062 150.7
3.800 -7.770 4.282 151.1
3.833 -8.122 4.333 151.9
3.866 -8.277 4.221 153.0
3.900 -8.069 4.286 152.0
3.933 -7.730 4.080 152.2
3.966 -7.079 4.052 150.2
4.000 -6.328 3.765 149.2
4.033 -5.293 3.766 144.6
4.066 -4.264 3.331 142.0
4.100 -2.984 3.303 132.1
4.133 -1.662 3.130 118.0
4.166 -0.242 3.284 94.2
4.200 1.156 3.161 69.9
4.233 2.553 3.114 50.7
4.266 3.878 3.146 39.0
4.300 5.170 3.362 33.0
4.333 6.318 3.564 29.4
4.366 7.315 3.806 27.5
4.400 8.050 3.823 25.4
4.433 8.650 4.060 25.1
4.466 9.024 4.250 25.2
4.500 9.124 4.369 25.6
4.533 8.062 4.292 28.0
4.566 8.623 4.204 26.0
4.600 8.022 3.941 26.2
4.633 7.103 3.727 27.7
4.666 6.011 3.657 31.3
4.700 4.745 3.431 35.9
4.733 3.299 3.141 43.6
4.766 1.817 3.266 60.9
4.800 0.256 3.119 85.3
4.833 -1.300 3.041 113.2
4.866 -2.728 3.328 129.3
4.900 -4.048 3.612 138.3
4.933 -5.254 3.926 143.2
4.966 -6.268 4.046 147.2
5.000 -7.072 4.255 149.0
5.033 -7.673 4.295 150.8
5.066 -8.075 4.244 152.3
5.099 -8.177 4.290 152.3
5.133 -8.023 4.301 151.8
5.166 -7.654 4.231 151.1
5.199 -7.174 3.874 151.6
5.233 -6.346 3.784 149.2
