 Madera (Angulo B)   
t x y θ 
0.000 -39.28 -24.89 -147.6
0.033 -40.56 -22.58 -150.9
0.067 -41.33 -21.06 -153.0
0.100 -41.14 -20.49 -153.5
0.133 -41.45 -20.74 -153.4
0.167 -40.83 -21.91 -151.8
0.200 -39.76 -23.88 -149.0
0.233 -38.10 -26.48 -145.2
0.267 -35.78 -29.64 -140.4
0.300 -32.80 -33.21 -134.6
0.333 -28.77 -36.87 -128.0
0.367 -24.04 -40.23 -120.9
0.400 -18.63 -43.14 -113.4
0.433 -11.78 -45.51 -104.5
0.467 -5.498 -46.85 -96.7
0.500 1.339 -47.08 -88.4
0.533 8.347 -46.30 -79.8
0.567 15.03 -44.51 -71.3
0.600 21.28 -41.85 -63.1
0.633 27.03 -38.45 -54.9
0.667 31.08 -34.66 -48.1
0.700 34.89 -31.08 -41.7
0.733 37.59 -27.98 -36.7
0.767 39.47 -25.30 -32.7
0.800 40.68 -23.38 -29.9
0.833 41.33 -22.20 -28.2
0.867 41.14 -22.68 -28.9
0.900 41.27 -22.34 -28.4
0.933 40.46 -23.67 -30.3
0.967 39.11 -25.79 -33.4
1.000 36.96 -28.54 -37.7
1.033 33.98 -31.84 -43.1
1.067 30.26 -35.41 -49.5
1.100 25.60 -39.10 -56.8
1.133 19.97 -42.30 -64.7
1.167 13.45 -44.90 -73.3
1.200 6.445 -46.46 -82.1
1.233 -1.479 -46.96 -91.8
1.267 -8.747 -46.24 -100.7
1.300 -14.51 -44.65 -108.0
1.333 -20.75 -41.95 -116.3
1.367 -25.70 -38.89 -123.5
1.400 -29.81 -35.69 -129.9
1.433 -33.36 -32.58 -135.7
1.467 -35.71 -29.90 -140.1
1.500 -37.37 -27.72 -143.4
1.533 -38.36 -26.21 -145.7
1.567 -38.86 -25.39 -146.8
1.600 -38.92 -25.33 -146.9
1.633 -38.48 -25.97 -146.0
1.666 -37.61 -27.32 -144.0
1.700 -36.13 -29.32 -140.9
1.733 -34.05 -31.86 -136.9
1.766 -31.07 -34.62 -131.9
1.800 -27.44 -37.57 -126.1
1.833 -23.19 -40.45 -119.8
1.866 -18.02 -43.09 -112.7
1.900 -12.42 -45.18 -105.4
1.933 -6.384 -46.41 -97.8
1.966 1.092 -46.50 -88.7
2.000 6.280 -46.29 -82.3
2.033 12.40 -44.93 -74.6
2.066 18.55 -42.65 -66.5
2.100 23.44 -40.00 -59.6
2.133 27.83 -37.05 -53.1
2.166 31.66 -34.13 -47.1
2.200 34.36 -31.53 -42.5
2.233 36.40 -29.31 -38.8
2.266 37.26 -28.43 -37.3
2.300 37.90 -27.40 -35.9
2.333 38.10 -27.25 -35.6
2.366 37.80 -27.59 -36.1
2.400 36.92 -28.62 -37.8
2.433 35.46 -30.47 -40.7
2.466 33.48 -32.83 -44.4
2.500 30.40 -35.61 -49.5
2.533 26.27 -38.64 -55.8
2.566 21.70 -41.44 -62.4
2.600 16.45 -43.86 -69.4
2.633 10.24 -45.82 -77.4
2.666 3.875 -46.89 -85.3
2.700 -1.729 -47.07 -92.1
2.733 -8.746 -46.30 -100.7
2.766 -14.69 -44.72 -108.2
2.800 -19.97 -42.59 -115.1
2.833 -24.67 -40.08 -121.6
2.866 -28.62 -37.42 -127.4
2.900 -31.65 -34.81 -132.3
2.933 -33.84 -32.52 -136.1
2.966 -35.17 -30.69 -138.9
3.000 -36.10 -29.50 -140.7
3.033 -36.13 -29.26 -141.0
3.066 -36.35 -29.07 -141.3
