 Madera (Angulo C)   
t x y θ 
0.000 -3.434 -46.89 -94.2
0.033 -9.516 -46.01 -101.7
0.067 -15.75 -44.11 -109.7
0.100 -21.10 -41.59 -116.9
0.133 -25.69 -38.72 -123.6
0.167 -29.62 -35.99 -129.5
0.200 -32.46 -33.34 -134.2
0.233 -34.50 -31.01 -138.1
0.267 -35.71 -29.92 -140.0
0.300 -36.59 -28.94 -141.7
0.333 -36.79 -28.35 -142.4
0.367 -36.89 -28.65 -142.2
0.400 -36.17 -29.56 -140.7
0.433 -34.84 -31.10 -138.3
0.467 -33.04 -33.09 -135.0
0.500 -30.58 -35.45 -130.8
0.533 -27.37 -38.04 -125.7
0.567 -23.51 -40.58 -120.1
0.600 -19.03 -42.87 -113.9
0.633 -13.93 -44.74 -107.3
0.667 -8.396 -46.23 -100.3
0.700 -2.441 -46.89 -93.0
0.733 3.658 -46.68 -85.5
0.767 9.792 -45.82 -77.9
0.800 15.18 -44.28 -71.1
0.833 20.17 -42.12 -64.4
0.867 24.43 -39.63 -58.3
0.900 28.56 -37.17 -52.5
0.933 31.38 -34.75 -47.9
0.967 33.58 -32.59 -44.1
1.000 34.71 -30.86 -41.6
1.033 35.65 -29.79 -39.9
1.067 35.96 -29.30 -39.2
1.100 35.83 -29.49 -39.5
1.133 35.11 -30.31 -40.8
1.167 33.74 -31.79 -43.3
1.200 31.79 -33.72 -46.7
1.233 29.20 -36.08 -51.0
1.267 25.90 -38.64 -56.2
1.300 21.85 -41.08 -62.0
1.333 17.06 -43.36 -68.5
1.367 11.65 -45.11 -75.5
1.400 6.037 -46.27 -82.6
1.433 -1.041 -46.81 -91.3
1.467 -6.436 -46.31 -97.9
1.500 -12.05 -45.08 -105.0
1.533 -17.25 -43.32 -111.7
1.567 -21.82 -41.09 -118.0
1.600 -25.64 -38.71 -123.5
1.633 -28.89 -36.49 -128.4
1.667 -31.30 -34.49 -132.2
1.700 -33.02 -32.84 -135.1
1.733 -34.11 -31.70 -137.1
1.766 -34.59 -31.09 -138.1
1.800 -34.62 -31.07 -138.1
1.833 -34.09 -31.69 -137.1
1.866 -33.05 -32.76 -135.2
1.900 -31.47 -34.31 -132.5
1.933 -29.27 -36.20 -129.0
1.966 -26.37 -38.33 -124.5
2.000 -22.79 -40.53 -119.4
2.033 -18.63 -42.64 -113.6
2.066 -13.96 -44.46 -107.4
2.100 -8.895 -45.80 -101.0
2.133 -3.300 -46.50 -94.1
2.166 1.787 -46.58 -87.8
2.200 7.280 -46.04 -81.0
2.233 12.39 -44.86 -74.6
2.266 17.00 -43.24 -68.5
2.300 21.07 -41.29 -63.0
2.333 24.47 -39.25 -58.1
2.366 27.26 -37.20 -53.8
2.400 29.52 -35.31 -50.1
2.433 30.94 -33.93 -47.6
2.466 31.98 -32.95 -45.9
2.500 32.89 -32.42 -44.6
2.533 32.89 -32.51 -44.7
2.566 32.29 -33.17 -45.8
2.600 30.95 -34.30 -47.9
2.633 28.98 -35.81 -51.0
2.666 26.55 -37.65 -54.8
2.700 23.52 -39.72 -59.4
2.733 19.84 -41.80 -64.6
2.766 15.48 -43.69 -70.5
2.800 10.43 -45.23 -77.0
2.833 5.260 -46.21 -83.5
2.866 -0.977 -46.69 -91.2
2.900 -5.863 -46.24 -97.2
2.933 -11.02 -45.27 -103.7
2.966 -15.82 -43.76 -109.9
3.000 -20.14 -41.88 -115.7
3.033 -23.92 -39.93 -120.9
3.066 -26.89 -37.97 -125.3
3.100 -29.23 -36.20 -128.9
3.133 -30.92 -34.74 -131.7
3.166 -32.05 -33.74 -133.5
3.200 -32.28 -33.85 -133.6
3.233 -32.55 -33.18 -134.5
3.266 -32.02 -33.74 -133.5
3.300 -30.88 -34.75 -131.6
3.333 -29.17 -36.13 -128.9
3.366 -26.95 -37.85 -125.4
3.400 -24.04 -39.69 -121.2
3.433 -20.55 -41.59 -116.3
3.466 -16.56 -43.37 -110.9
3.500 -12.15 -44.84 -105.2
3.533 -7.645 -45.80 -99.5
3.566 -2.706 -46.51 -93.3
3.600 2.322 -46.43 -87.1
3.633 7.321 -45.84 -80.9
3.666 11.84 -44.82 -75.2
3.700 15.97 -43.44 -69.8
3.733 19.68 -41.70 -64.7
3.766 22.71 -40.00 -60.4
3.800 25.32 -38.21 -56.5
3.833 27.26 -36.70 -53.4
3.866 28.76 -35.52 -51.0
3.900 29.91 -34.66 -49.2
3.933 30.32 -34.28 -48.5
3.966 30.06 -34.47 -48.9
4.000 29.26 -35.13 -50.2
4.033 27.89 -36.21 -52.4
4.066 26.10 -37.60 -55.2
4.100 23.55 -39.26 -59.0
4.133 20.59 -41.03 -63.4
4.166 17.02 -42.79 -68.3
4.200 12.78 -44.33 -73.9
4.233 8.244 -45.52 -79.7
4.266 3.267 -46.22 -86.0
4.300 -1.743 -46.39 -92.2
4.333 -6.596 -45.94 -98.2
4.366 -11.31 -45.03 -104.1
4.400 -15.70 -43.66 -109.8
4.433 -19.59 -42.04 -115.0
4.466 -22.94 -40.33 -119.6
4.500 -25.65 -38.68 -123.6
4.533 -27.84 -37.25 -126.8
4.566 -29.30 -36.12 -129.1
4.600 -30.18 -35.33 -130.5
4.633 -30.23 -34.94 -130.9
4.666 -30.06 -35.09 -130.6
4.700 -29.34 -35.71 -129.4
4.733 -28.04 -36.70 -127.4
4.766 -26.21 -38.01 -124.6
4.800 -23.88 -39.52 -121.1
4.833 -20.93 -41.19 -116.9
4.866 -17.54 -42.82 -112.3
4.900 -13.66 -44.32 -107.1
4.933 -9.474 -45.49 -101.8
4.966 -5.042 -46.24 -96.2
5.000 -0.826 -46.47 -91.0
5.033 4.109 -46.31 -84.9
5.066 8.483 -45.69 -79.5
5.099 12.57 -44.71 -74.3
5.133 16.29 -43.41 -69.4
5.166 19.45 -41.96 -65.1
5.199 22.08 -40.51 -61.4
5.233 24.74 -38.99 -57.6
5.266 26.40 -37.78 -55.1
5.299 27.56 -36.91 -53.3
5.333 28.14 -36.39 -52.3
5.366 28.21 -36.26 -52.1
5.399 27.81 -36.62 -52.8
5.433 26.77 -37.35 -54.4
5.466 25.19 -38.42 -56.8
5.499 23.12 -39.73 -59.8
5.533 20.41 -41.27 -63.7
5.566 17.33 -42.76 -67.9
5.599 13.76 -44.18 -72.7
5.633 9.700 -45.34 -77.9
5.666 5.310 -46.17 -83.4
5.699 1.110 -46.42 -88.6
5.733 -3.434 -46.41 -94.2
5.766 -8.127 -45.84 -100.1
5.799 -12.31 -44.86 -105.3
5.833 -16.17 -43.56 -110.4
5.866 -19.50 -42.10 -114.9
5.899 -22.31 -40.62 -118.8
5.933 -24.65 -39.27 -122.1
5.966 -26.72 -38.23 -124.9
5.999 -27.83 -37.39 -126.7
6.033 -28.41 -36.92 -127.6
6.066 -28.52 -36.86 -127.7
6.099 -28.08 -37.22 -127.0
6.133 -27.09 -37.92 -125.5
6.166 -25.53 -38.94 -123.3
6.199 -23.53 -40.18 -120.4
6.233 -20.98 -41.56 -116.8
6.266 -17.89 -42.92 -112.6
6.299 -14.37 -44.25 -108.0
6.333 -10.57 -45.39 -103.1
6.366 -6.384 -46.12 -97.9
6.399 -2.192 -46.50 -92.7
6.433 1.978 -46.51 -87.6
6.466 6.155 -46.09 -82.4
6.499 10.07 -45.33 -77.5
6.533 13.63 -44.32 -72.9
6.566 16.85 -43.09 -68.6
6.599 19.54 -41.82 -65.0
6.633 22.05 -40.49 -61.4
6.666 23.89 -39.41 -58.8
6.699 25.25 -38.56 -56.8
6.733 26.03 -37.99 -55.6
6.766 26.24 -37.80 -55.2
6.799 26.02 -37.91 -55.5
6.833 25.30 -38.39 -56.6
6.866 24.04 -39.18 -58.5
6.899 22.22 -40.21 -61.1
6.933 20.00 -41.42 -64.2
6.966 17.15 -42.74 -68.1
6.999 14.01 -43.99 -72.3
7.033 10.37 -45.02 -77.0
7.066 6.483 -45.83 -81.9
7.099 2.226 -46.29 -87.2
7.133 -1.954 -46.31 -92.4
7.166 -6.201 -45.94 -97.7
7.199 -10.21 -45.18 -102.7
7.233 -13.85 -44.12 -107.4
7.266 -17.17 -42.89 -111.8
7.299 -20.11 -41.56 -115.8
7.333 -22.58 -40.30 -119.3
7.366 -24.44 -39.23 -121.9
7.399 -25.74 -38.40 -123.8
7.433 -26.41 -37.86 -124.9
7.466 -26.64 -37.69 -125.3
7.499 -26.37 -37.88 -124.8
7.533 -25.52 -38.42 -123.6
7.566 -24.21 -39.26 -121.7
7.599 -22.36 -40.30 -119.0
7.633 -20.05 -41.53 -115.8
7.666 -17.28 -42.78 -112.0
7.699 -14.12 -43.99 -107.8
7.733 -10.61 -45.02 -103.3
7.766 -6.794 -45.83 -98.4
7.799 -2.954 -46.24 -93.7
7.833 1.172 -46.27 -88.5
7.866 4.994 -46.05 -83.8
7.899 8.716 -45.47 -79.1
7.933 12.15 -44.63 -74.8
7.966 15.35 -43.59 -70.6
7.999 18.00 -42.47 -67.0
8.033 20.37 -41.35 -63.8
8.066 22.21 -40.34 -61.2
8.099 23.46 -39.54 -59.3
8.133 24.35 -38.99 -58.0
8.166 24.66 -38.72 -57.5
8.199 24.53 -38.81 -57.7
8.233 23.95 -39.19 -58.6
8.266 22.82 -39.84 -60.2
8.299 21.19 -40.76 -62.5
8.333 19.12 -41.78 -65.4
8.366 16.57 -42.94 -68.9
8.399 13.64 -44.05 -72.8
8.432 10.30 -45.03 -77.1
8.466 6.716 -45.78 -81.7
8.499 2.798 -46.23 -86.5
8.532 -1.080 -46.30 -91.3
8.566 -5.081 -46.10 -96.3
8.599 -8.937 -45.47 -101.1
8.632 -12.39 -44.60 -105.5
