 Madera (Angulo D)   
t x y θ 
0.033 -18.75 -42.22 -114.0
0.067 -14.97 -43.75 -108.9
0.100 -10.74 -45.00 -103.4
0.133 -6.229 -45.87 -97.7
0.167 -1.471 -46.25 -91.8
0.200 3.268 -46.14 -85.9
0.233 7.907 -45.51 -80.1
0.267 12.37 -44.46 -74.4
0.300 16.39 -43.02 -69.1
0.333 19.87 -41.46 -64.4
0.367 22.82 -39.86 -60.2
0.400 25.25 -38.31 -56.6
0.433 27.02 -37.02 -53.9
0.467 28.86 -35.78 -51.1
0.500 29.58 -35.16 -49.9
0.533 29.79 -34.98 -49.6
0.567 29.41 -35.22 -50.1
0.600 28.57 -35.93 -51.5
0.633 27.03 -37.04 -53.9
0.667 24.88 -38.49 -57.1
0.700 22.31 -40.08 -60.9
0.733 19.24 -41.71 -65.2
0.767 15.61 -43.42 -70.2
0.800 11.40 -44.77 -75.7
0.833 6.848 -45.72 -81.5
0.867 2.121 -46.20 -87.4
0.900 -2.649 -46.18 -93.3
0.933 -7.410 -45.63 -99.2
0.967 -11.65 -44.70 -104.6
1.000 -15.59 -43.32 -109.8
1.033 -19.12 -41.76 -114.6
1.067 -22.12 -40.16 -118.9
1.100 -24.77 -38.75 -122.6
1.133 -26.68 -37.54 -125.4
1.167 -28.00 -36.54 -127.5
1.200 -28.78 -35.94 -128.7
1.233 -29.03 -35.77 -129.1
1.267 -28.76 -36.01 -128.6
1.300 -27.94 -36.70 -127.3
1.333 -26.53 -37.71 -125.1
1.367 -24.59 -38.98 -122.2
1.400 -22.14 -40.46 -118.7
1.433 -19.32 -42.03 -114.7
1.467 -15.97 -43.42 -110.2
1.500 -12.16 -44.60 -105.3
1.533 -8.070 -45.46 -100.1
1.567 -3.444 -45.94 -94.3
1.600 1.095 -45.97 -88.6
1.633 5.270 -45.75 -83.4
1.667 9.547 -45.01 -78.0
1.700 13.44 -43.96 -73.0
1.733 16.99 -42.65 -68.3
1.766 19.98 -41.20 -64.1
1.800 22.49 -39.85 -60.6
1.833 24.55 -38.58 -57.5
1.866 26.31 -37.52 -55.0
1.900 27.35 -36.78 -53.4
1.933 27.68 -36.46 -52.8
1.966 27.60 -36.48 -52.9
2.000 26.99 -36.95 -53.8
2.033 25.66 -37.81 -55.8
2.066 23.98 -38.93 -58.4
2.100 21.77 -40.26 -61.6
2.133 19.09 -41.72 -65.4
2.166 15.80 -43.12 -69.9
2.200 12.14 -44.31 -74.7
2.233 8.043 -45.25 -79.9
2.266 3.790 -45.84 -85.3
2.300 -0.871 -46.05 -91.1
2.333 -5.125 -45.79 -96.4
2.366 -9.263 -45.08 -101.6
2.400 -13.21 -44.07 -106.7
2.433 -16.75 -42.80 -111.4
2.466 -19.86 -41.42 -115.6
2.500 -22.59 -40.14 -119.4
2.533 -24.64 -38.93 -122.3
2.566 -26.20 -37.97 -124.6
2.600 -27.15 -37.28 -126.1
2.633 -27.56 -36.95 -126.7
2.666 -27.51 -36.99 -126.6
2.700 -26.88 -37.44 -125.7
2.733 -25.74 -38.20 -124.0
2.766 -24.12 -39.24 -121.6
2.800 -21.89 -40.43 -118.4
2.833 -19.22 -41.73 -114.7
2.866 -16.09 -43.01 -110.5
2.900 -12.62 -44.22 -105.9
2.933 -8.881 -45.17 -101.1
2.966 -4.902 -45.74 -96.1
3.000 -0.747 -45.98 -90.9
3.033 3.394 -45.85 -85.8
3.066 7.372 -45.35 -80.8
3.100 11.07 -44.53 -76.0
3.133 14.44 -43.48 -71.6
3.166 17.43 -42.28 -67.6
3.200 19.91 -41.12 -64.2
3.233 21.86 -40.03 -61.4
3.266 23.39 -39.10 -59.1
3.300 25.12 -38.20 -56.7
3.333 25.63 -37.82 -55.9
3.366 25.68 -37.76 -55.8
3.400 25.26 -38.03 -56.4
3.433 24.26 -38.64 -57.9
3.466 22.68 -39.54 -60.2
3.500 20.72 -40.65 -63.0
3.533 18.29 -41.85 -66.4
3.566 15.38 -43.07 -70.3
3.600 12.08 -44.19 -74.7
3.633 8.434 -45.12 -79.4
3.666 4.456 -45.74 -84.4
3.700 4.559E-2 -45.84 -89.9
3.733 -3.452 -45.91 -94.3
3.766 -7.649 -45.48 -99.5
3.800 -11.39 -44.71 -104.3
3.833 -14.83 -43.66 -108.8
3.866 -17.80 -42.52 -112.7
3.900 -20.53 -41.31 -116.4
3.933 -22.64 -40.22 -119.4
3.966 -24.29 -39.29 -121.7
4.000 -25.36 -38.62 -123.3
4.033 -25.89 -38.24 -124.1
4.066 -25.92 -38.20 -124.2
4.100 -25.47 -38.51 -123.5
4.133 -24.46 -39.10 -122.0
4.166 -22.94 -39.95 -119.9
4.200 -20.97 -41.00 -117.1
4.233 -18.52 -42.14 -113.7
4.266 -15.65 -43.26 -109.9
4.300 -12.38 -44.33 -105.6
4.333 -8.870 -45.17 -101.1
4.366 -5.118 -45.77 -96.4
4.400 -1.254 -46.02 -91.6
4.433 2.537 -46.02 -86.8
4.466 6.314 -45.60 -82.1
4.500 9.809 -44.90 -77.7
4.533 13.04 -43.99 -73.5
4.566 15.85 -43.01 -69.8
4.600 18.15 -41.99 -66.6
4.633 20.06 -41.08 -64.0
4.666 21.51 -40.24 -61.9
4.700 23.27 -39.31 -59.4
4.733 23.76 -38.95 -58.6
4.766 23.82 -38.88 -58.5
4.800 23.53 -39.06 -58.9
4.833 22.71 -39.56 -60.1
4.866 21.32 -40.28 -62.1
4.900 19.40 -41.22 -64.8
4.933 17.23 -42.27 -67.8
4.966 14.56 -43.30 -71.4
5.000 11.50 -44.31 -75.4
5.033 8.170 -45.09 -79.7
5.066 4.548 -45.68 -84.3
5.099 0.964 -45.85 -88.8
5.133 -2.968 -45.87 -93.7
5.166 -6.671 -45.49 -98.3
5.199 -10.20 -44.83 -102.8
