 Madera (Angulo F calcular theta con py)   
t x y θ 
0.000 5.754 3.485 31.2
0.033 5.386 3.340 31.8
0.067 4.289 3.230 37.0
0.100 3.294 3.104 43.3
0.133 2.057 2.994 55.5
0.167 0.580 2.969 79.0
0.200 -0.670 2.989 102.6
0.233 -1.959 3.020 123.0
0.267 -3.312 3.129 136.6
0.300 -4.523 3.250 144.3
0.333 -5.569 3.381 148.7
0.367 -6.527 3.505 151.8
0.400 -7.270 3.623 153.5
0.433 -7.844 3.723 154.6
0.467 -8.142 3.790 155.0
0.500 -8.911 3.665 157.6
0.533 -8.879 3.665 157.6
0.567 -8.840 3.595 157.9
0.600 -8.321 3.523 157.1
0.633 -7.745 3.464 155.9
0.667 -7.012 3.327 154.6
0.700 -6.124 3.220 152.3
0.733 -5.154 3.087 149.1
0.767 -4.087 2.992 143.8
0.800 -2.247 3.013 126.7
0.833 -1.033 2.967 109.2
0.867 0.125 2.972 87.6
0.900 1.351 2.977 65.6
0.933 2.510 3.032 50.4
0.967 3.595 3.119 40.9
1.000 4.663 3.234 34.7
1.033 5.579 3.336 30.9
1.067 6.511 3.439 27.8
1.100 7.278 3.543 26.0
1.133 7.880 3.628 24.7
1.167 8.295 3.701 24.0
1.200 8.530 3.731 23.6
1.233 8.576 3.736 23.5
1.267 8.408 3.704 23.8
1.300 8.040 3.634 24.3
1.333 7.487 3.541 25.3
1.367 6.770 3.436 26.9
1.400 5.815 3.323 29.7
1.433 4.769 3.193 33.8
1.467 3.620 3.113 40.7
1.500 2.412 3.022 51.4
1.533 1.152 2.973 68.8
1.567 -0.219 2.969 94.2
1.600 -1.470 2.985 116.2
1.633 -2.780 3.057 132.3
1.666 -3.984 3.145 141.7
1.700 -5.107 3.268 147.4
1.733 -6.041 3.382 150.8
1.766 -6.830 3.502 152.9
1.800 -7.449 3.602 154.2
1.833 -7.863 3.681 154.9
1.866 -8.096 3.729 155.3
1.900 -8.130 3.727 155.4
1.933 -8.010 3.712 155.1
1.966 -7.677 3.650 154.6
2.000 -7.209 3.573 153.6
2.033 -6.546 3.458 152.2
2.066 -5.762 3.355 149.8
2.100 -4.867 3.246 146.3
2.133 -3.891 3.155 141.0
2.166 -2.795 3.054 132.5
2.200 -1.633 2.986 118.7
2.233 -0.530 2.962 100.2
2.266 0.608 2.980 78.5
2.300 1.791 3.012 59.3
2.333 2.766 3.088 48.1
2.366 3.835 3.171 39.6
2.400 4.805 3.269 34.2
2.433 5.793 3.360 30.1
2.466 6.558 3.469 27.9
2.500 7.149 3.562 26.5
2.533 7.005 3.645 27.5
2.566 7.335 3.690 26.7
2.600 7.405 3.697 26.5
2.633 7.333 3.686 26.7
2.666 6.875 3.653 28.0
2.700 6.458 3.585 29.0
2.733 5.833 3.488 30.9
2.766 5.003 3.390 34.1
2.800 3.939 3.306 40.0
2.833 2.907 3.233 48.0
2.866 2.666 3.037 48.7
2.900 1.475 2.975 63.6
2.933 -6.187E-2 3.073 91.2
2.966 -1.230 3.004 112.3
3.000 -2.332 3.030 127.6
3.033 -3.497 3.121 138.3
3.066 -4.609 3.226 145.0
3.100 -5.595 3.343 149.1
3.133 -6.399 3.449 151.7
3.166 -7.057 3.557 153.3
3.200 -7.546 3.632 154.3
3.233 -7.837 3.679 154.9
3.266 -7.934 3.693 155.0
3.300 -7.844 3.672 154.9
3.333 -7.595 3.628 154.5
3.366 -7.185 3.567 153.6
3.400 -6.646 3.484 152.3
3.433 -5.912 3.381 150.2
3.466 -5.078 3.278 147.2
3.500 -4.125 3.176 142.4
3.533 -3.071 3.076 135.0
3.566 -1.965 3.011 123.1
3.600 -0.876 2.984 106.4
3.633 0.253 2.987 85.2
3.666 1.358 3.005 65.7
3.700 2.454 3.047 51.2
3.733 3.445 3.127 42.2
3.766 4.481 3.218 35.7
3.800 5.407 3.324 31.6
3.833 6.180 3.421 29.0
3.866 6.786 3.523 27.4
3.900 6.741 3.607 28.1
3.933 6.881 3.645 27.9
3.966 7.241 3.658 26.8
4.000 7.001 3.664 27.6
4.033 6.923 3.646 27.8
4.066 6.532 3.588 28.8
