t,nada_2P,Mate_Bronce,MateBronce_Bronce,MatePlatino_Bronce,Todo_Bronce,Mate_BroncePlatino,MateBronce_BroncePlatino,MatePlatino_BroncePlatino,Todo_BroncePlatino
1000,312.00,316.00,316.00,343.00,340.00,316.00,343.00,385.00,316.00
2000,465.00,489.00,374.00,653.00,372.00,518.00,698.00,2278.00,315.00
3000,3361.00,1260.00,413.00,1232.00,403.00,3045.00,1800.00,3164.00,486.00
4000,0,2588.00,500.00,1961.00,413.00,3369.00,2934.00,0,1048.00
5000,0,2919.00,559.00,2839.00,458.00,3438.00,0,0,1612.00
6000,0,0,594.00,0,0,546.00,0,0,2292.00
7000,0,0,594.00,0,0,581.00,0,0,2811.00
8000,0,0,618.00,0,0,0,0,0,2835.00
9000,0,0,619.00,0,0,0,0,0,0
10000,0,0,619.00,0,0,0,0,0,0
